popularity,title,genre,developer,year,move,aim,hotas,retail_bd,free_to_play,cusa,size_gb,size_bytes,size_source,pv_monthly,pv_adjust
★★★★★,Minecraft,"Sandbox, Survival",Mojang,,—,,,,,CUSA00744,0.21,224919552,exact,280191,multiplat
★★★★★,Resident Evil 7: Biohazard,Survival horror,Capcom,2017,—,,,Y,,CUSA03962,20.64,22157131776,exact,132886,multiplat
★★★★★,The Elder Scrolls V: Skyrim,"Action, RPG",Bethesda Game Studios,2017,可选,,,Y,,,,,,97659,multiplat
★★★★★,Tekken 7,Fighting,Bandai Namco Ent.,2017,—,,,Y,,CUSA05972,38.74,41597403136,exact,56598,multiplat
★★★★★,The Inpatient,Survival horror,Supermassive Games,2018,可选,,,Y,,,,,,15946,
★★★★★,Beat Saber,Rhythm,Beat Games,2018,必需,,,,,CUSA12878,0.29,311754752,exact,15651,
★★★★★,Star Wars: Squadrons,Space combat,Motive Studios,2020,—,,Y,Y,,,,,,45566,multiplat
★★★★★,Gran Turismo Sport,Racing,Polyphony Digital,2017,—,,,Y,,CUSA03220,40.04,42994892800,exact,30722,multiplat
★★★★★,Déraciné,First-person adventure,FromSoftware,2018,必需,,,Y,,,,,,8183,
★★★★,Persona 5: Dancing in Starlight,"Music, Rhythm",P-Studio,2018,—,,,Y,,,,,,7869,
★★★★,Until Dawn: Rush of Blood,Survival Horror,Supermassive Games,2016,可选,,,Y,,CUSA03683,12.16,13056475136,exact,7466,
★★★★,Rise of the Tomb Raider: Blood Ties,Action-Adventure,Crystal Dynamics,2016,—,,,Y,,,,,,61092,proxy
★★★★,Batman: Arkham VR,Action-adventure,Rocksteady Studios,2016,可选,,,Y,,CUSA05340,7.99,8581152768,fuzzy,6030,
★★★★,Dreamworks Voltron VR Chronicles,"Action, Puzzle, Adventure",Digital Domain Interactive,2017,—,,,,,,,,,53725,proxy
★★★★,No Man's Sky Beyond,"Action, adventure, survival",Hello Games,2019,可选,,,Y,,,,,,52963,proxy
★★★★,Star Trek: Bridge Crew,"Social, Adventure",Red Storm Entertainment,2017,可选,,,Y,,,,,,4992,
★★★★,Astro Bot Rescue Mission,"Adventure, platform",Japan Studio (Team Asobi),2018,—,,,Y,,,,,,4508,
★★★★,Five Nights at Freddy's: Help Wanted,Survival horror,Steel Wool,2019,可选,,,Y,,,,,,14460,multiplat
★★★★,Dead or Alive Xtreme 3,"Sports, Dating Sim",Koei Tecmo,2017,—,,,Y,,,,,,14291,multiplat
★★★★,Wolfenstein: Cyberpilot,Shooter,,2019,可选,,,Y,,,,,,4131,
★★★★,Sega Genesis Classics,"Action, Platform",Sega,2018,—,,,,,,,,,13671,multiplat
★★★★,Fate/Grand Order VR feat. Mashu Kyrielight,Type-Moon,Aniplex,2017,—,,,,Y,,,,,40904,proxy
★★★★,Psychonauts in the Rhombus of Ruin,,Double Fine Productions,2017,—,,,Y,,,,,,3994,
★★★★,Hatsune Miku: Project DIVA X,Rhythm,Sega,2016,可选,,,Y,,,,,,3914,
★★★★,Blood & Truth,First-person shooter,London Studio,2019,可选,,,Y,,,,,,3872,
★★★★,Job Simulator,Simulation,Owlchemy Labs,2016,必需,,,Y,,CUSA05818,0.90,969670656,exact,3850,
★★★★,The Last Guardian VR Demo,"Action, adventure",Sony Interactive Entertainment,2017,—,,,,Y,CUSA10479,1.23,1321271296,exact,38171,proxy
★★★★,Persona 3: Dancing in Moonlight,"Music, Rhythm",P-Studio,2018,—,,,Y,,,,,,3751,
★★★★,Rec Room,,Against Gravity,2017,必需,,,,Y,CUSA08481,1.79,1925709824,exact,3721,
★★★★,Creed: Rise to Glory,Sports,Survios,2018,必需,,,Y,,,,,,3426,
★★★★,Eve: Valkyrie,Space Shooter,CCP Games,2016,—,,Y,Y,,CUSA05789,5.46,5866061824,exact,3200,
★★★★,Disaster Report 4 Plus: Summer Memories,Survival action-adventure,Granzella,2018,—,,,Y,,,,,,2913,
★★★★,Accounting+,Exploration game,Squanch Games,2017,可选,,,Y,,CUSA10154,0.60,648871936,exact,2891,
★★★★,Vader Immortal: A Star Wars VR Series,Simulation,ILMxLAB,2020,必需,,,,,,,,,2878,
★★★★,Rick and Morty: Virtual Rick-ality,Adventure,Owlchemy Labs,2018,必需,,,Y,,,,,,2853,
★★★★,Moss,"Adventure, puzzle",Polyarc Games,2018,—,,,Y,,CUSA09760,5.92,6351814656,exact,2828,
★★★★,Polybius,Arcade,Llamasoft,2017,—,,,,,,,,,2713,
★★★★,Bound,"Action, platform",Plastic,2016,—,,,,,CUSA04193,1.45,1554579456,exact,2698,
★★★★,Thumper,Rhythm,Drool,2016,—,,,Y,,,,,,2599,
★★★★,Robinson: The Journey,Action-Adventure,Crytek,2016,—,,,Y,,,,,,2500,
★★★,Dirt Rally,Racing,Codemasters,2017,—,,,Y,,CUSA03648,40.33,43307958272,exact,7853,multiplat
★★★,Arizona Sunshine,"First-person shooter, survival",Vertigo Games,2017,可选,Y,,Y,,,,,,2290,
★★★,Doom VFR,First-person shooter,Bethesda,2017,可选,Y,,,,CUSA09090,13.55,14544535552,exact,2003,
★★★,Cyber Danganronpa VR: The Class Trial,Adventure,Spike Chunsoft,2016,—,,,,,CUSA07125,0.65,693043200,exact,1931,
★★★,Monster of the Deep: Final Fantasy XV,Simulation,Square Enix,2017,必需,,,Y,,,,,,1930,
★★★,The Idolmaster Cinderella Girls,Simulation,Bandai Namco Ent.,2016,—,,,,,,,,,6230,multiplat
★★★,The Walking Dead: Saints & Sinners,"Action, horror",Skydance Interactive,2020,必需,,,Y,,,,,,6173,multiplat
★★★,Megaton Rainfall,Action-adventure,Alfonso del Cerro,2017,可选,,,,,,,,,1809,
★★★,RIGS: Mechanized Combat League,Sports Shooter,Guerrilla Cambridge,2016,—,,,Y,,CUSA00257,18.59,19965935616,fuzzy,1744,
★★★,Firewall: Zero Hour,Tactical first-person shooter,First Contact Ent.,2018,—,Y,,Y,,CUSA11182,9.69,10406133760,fuzzy,1709,
★★★,Tetris Effect,Puzzle,Enhance Games,2018,—,,,Y,,,,,,5586,multiplat
★★★,Concrete Genie,Action,Worldwide Studios,2019,必需,,,Y,,,,,,5385,multiplat
★★★,PlayStation VR Worlds,Interactive Experience,London Studio,2016,可选,,,Y,,,,,,1601,
★★★,Keep Talking and Nobody Explodes,Puzzle,Steel Crate Games,2016,—,,,,,CUSA06561,0.65,703201280,exact,5232,multiplat
★★★,Farpoint,FPS,Impulse Gear,2017,—,Y,,Y,,,,,,1543,
★★★,Obduction,"Adventure, puzzle",Cyan Worlds,2017,—,,,,,,,,,5104,multiplat
★★★,NBA 2K: VR Experience,Interactive experience,2K Games,2016,可选,,,,,,,,,15134,proxy
★★★,Don't Knock Twice,Horror,Wales Interactive,2017,可选,,,Y,,,,,,1473,
★★★,Home Sweet Home,"First-person, horror",Yggdrazil Group,2018,—,,,Y,,,,,,4704,multiplat
★★★,SuperHyperCube,Puzzle,Kokoromi,2016,—,,,,,CUSA04894,0.21,223739904,exact,1406,
★★★,Golem,Adventure,Highwire Games,2019,必需,,,Y,,,,,,1403,
★★★,Humanity,Puzzle,tha ltd.,2023,必需,,,,,,,,,1388,
★★★,Wipeout Omega Collection,Racing,Sony XDev Europe,2018,—,,,Y,,CUSA07671,22.23,23869128704,fuzzy,3889,multiplat
★★★,Moto Racer 4,Racing,Artefacts Studio,2016,—,,,Y,,,,,,974,
★★★,Eagle Flight,Flight Combat,Ubisoft Montreal,2016,—,,,Y,,,,,,966,
★★★,The Walking Dead: Saints & Sinners – Chapter 2: Retribution,"Action, horror",Skydance Interactive,,必需,,,Y,,,,,,923,
★★★,The Walking Dead: Onslaught,"Action, Horror",Survios,2020,必需,,,,,,,,,912,
★★★,Werewolves Within,Social,Red Storm Entertainment,2016,—,,,Y,,,,,,2987,multiplat
★★★,100ft Robot Golf,Sports,No Goblin,2016,—,,,,,,,,,857,
★★★,Paper Beast,Adventure,Pixel Reef,2020,可选,,,,,,,,,828,
★★★,Ark Park,"Adventure, simulation",Snail Games,2018,可选,,,Y,,,,,,725,
★★,Moss: Book II,"Adventure, puzzle",Polyarc Games,2022,—,,,Y,,,,,,635,
★★,Trover Saves the Universe,Squanch Games,Squanch Games,2019,—,,,Y,,,,,,2107,multiplat
★★,Battlezone,Vehicular combat,Rebellion Developments,2016,—,,,Y,,,,,,607,
★★,Budget Cuts,,Neat Corporation,2020,—,,,Y,,,,,,578,
★★,Ghost Giant,"Adventure, puzzle",Zoink Games,2019,必需,,,Y,,,,,,546,
★★,Ace Combat 7,Combat flight sim,Project Aces,2019,—,,Y,Y,,,,,,1708,multiplat
★★,Killing Floor: Incursion,First-person shooter,Tripwire Int.,2018,—,,,Y,,,,,,4997,proxy
★★,Catlateral Damage,Simulation,Chris Chung,2016,可选,,,,,,,,,498,
★★,Wayward Sky,"Adventure, Puzzle",Uber Entertainment,2016,可选,,,,,,,,,493,
★★,Synth Riders,Rhythm,Kluge Interactive,,必需,,,,,,,,,488,
★★,Sairento VR,First-person shooter,Mixed Realms,2019,必需,,,Y,,,,,,486,
★★,Dead Secret,Horror,Robot Invader,2018,—,,,,,,,,,483,
★★,Crisis on the Planet of the Apes VR,Action,Advanced Visual Entertainment,2018,必需,,,,,,,,,441,
★★,Hitman III,Stealth,IO Interactive,2021,—,,,,,,,,,1417,multiplat
★★,Sniper Elite VR,"Tactical shooter, stealth",Just Add Water,2021,—,Y,,,,,,,,3362,proxy
★★,Chess Ultra,"Sport, Chess",Ripstone Games,2017,—,,,,,,,,,330,
★★,Rez Infinite,"Rail shooter, music",Monstars,2016,可选,,,Y,,CUSA06209,0.49,521601024,exact,316,
★★,Arashi: Castles of Sin,Action,Endeavor One,,—,,,,,,,,,295,
★★,Fantastic Contraption,Puzzle,Northway Games,2017,—,,,,,,,,,233,
★★,Xing: The Land Beyond,"Adventure, Puzzle",White Lotus,2019,可选,,,,,,,,,160,
★★,Lethal VR,Shooter,Three Fields Ent.,2016,必需,,,,,,,,,159,
★★,The Playroom VR,Party,Japan Studio (Team Asobi),2016,—,,,,Y,CUSA04318,2.06,2215706624,exact,151,
★★,Apex Construct,Action-adventure,Fast Travel Games,2018,必需,,,Y,,,,,,,
★★,ATV Drift & Tricks,Racing,Anuman Interactive,2017,—,,,Y,,,,,,,
★★,Battlewake,"Action, racing, shooter",Survios,2019,可选,,,Y,,,,,,,
★★,Blind,"Exploration, Narrative, Puzzle",Tiny Bull Studios,2018,可选,,,Y,,,,,,,
★★,BoxVR,Sports,FitXR,2019,必需,,,Y,,,,,,,
★★,Bravo Team,First-person shooter,Supermassive Games,2018,可选,Y,,Y,,,,,,,
★★,Carly and the Reaperman: Escape from the Underworld,Odd Raven Studios,Odd Raven Studios,2019,可选,,,Y,,,,,,,
★★,CoolPaintrVR,Adventure,Wildbit Studios,2018,可选,,,Y,,,,,,,
★★,Croixleur Sigma,Hack 'n slash,Playism,2017,—,,,Y,,CUSA02163,1.16,1246035968,exact,,
★★,"data-sort-value=""American Dream"" |The American Dream",FPS,Samurai Punk,2018,—,,,Y,,,,,,,
★★,"data-sort-value=""Angry Birds Movie 2 VR: Under Pressure"" | The Angry Birds Movie 2 VR: Under Pressure",Party,XR Games,2019,—,,,Y,,,,,,,
★★,"data-sort-value=""Assembly"" |The Assembly",Adventure,nDreams,2016,可选,,,Y,,,,,,,
★★,"data-sort-value=""Curious Tale of the Stolen Pets"" | The Curious Tale of the Stolen Pets",Adventure,Fast Travel Games,2019,可选,,,Y,,,,,,,
★★,"data-sort-value=""Invisible Hours"" |The Invisible Hours","First-person, mystery",Tequila Works,2017,—,,,Y,,,,,,,
★★,"data-sort-value=""Persistence"" |The Persistence","Horror, stealth",Firesprite,2018,—,,,Y,,,,,,,
★★,Dexed,Action,Ninja Theory,2017,可选,,,Y,,,,,,,
★★,Doctor Who: The Edge of Time,"Adventure, puzzle",PlayStack,2019,可选,,,Y,,,,,,,
★★,Down The Rabbit Hole,Adventure,Cortopia,2020,—,,,Y,,,,,,,
★★,Drunkn Bar Fight,Action,The Munky,2018,必需,,,Y,,,,,,,
★★,Dying: Reborn,"Horror, puzzle",Oasis Games,2017,—,,,Y,,,,,,,
★★,Everybody's Golf VR,Sports,Japan Studio,2019,可选,,,Y,,CUSA04687,7.40,7942045696,exact,,
★★,Fated: The Silent Oath,Action-Adventure,Frima Studio,2017,—,,,Y,,,,,,,
★★,Gun Club VR,"Arcade, shooter",The Binary Mill,2018,必需,,,Y,,,,,,,
★★,Gungrave VR,Action,Iggymob,2017,—,,,Y,,,,,,,
★★,Happy Manager,Simulation,Tamsoft,2018,—,,,Y,,,,,,,
★★,Headmaster,"Action, sports",Frame Interactive,2016,—,,,Y,,,,,,,
★★,Heavy Fire: Red Shadow,"Action, arcade",Mastiff,2018,—,,,Y,,,,,,,
★★,Here They Lie,Horror,Tangentlemen,2016,—,,,Y,,CUSA05018,5.71,6135480320,exact,,
★★,HeroCade,Interactive experience,Lucid Sight,2017,可选,,,Y,,,,,,,
★★,Honor and Duty: D-Day,Action,Strange Games Studios,2019,可选,Y,,Y,,,,,,,
★★,Infinite Minigolf,Sports,Zen Studios,2017,—,,,Y,,CUSA07813,1.02,1094189056,exact,,
★★,Intruders: Hide and Seek,First-person stealth,Tessera Studios,2019,—,,,Y,,,,,,,
★★,Jupiter & Mars,Adventure Action,Tigertron,2019,—,,,Y,,,,,,,
